Year	Month	Day	Hour	VP (Pa)
2008	10	1	0	516.5597966
2008	10	1	3	498.4617284
2008	10	1	6	472.5634297
2008	10	1	9	449.0199318
2008	10	1	12	452.7635186
2008	10	1	15	492.6684503
2008	10	1	18	483.3107289
2008	10	1	21	458.2073398
2008	10	2	0	443.1699704
2008	10	2	3	429.5074386
2008	10	2	6	533.3568896
2008	10	2	9	609.2075468
2008	10	2	12	665.5415831
2008	10	2	15	732.8425584
2008	10	2	18	711.980913
2008	10	2	21	652.3063795
2008	10	3	0	651.7409016
2008	10	3	3	689.7029375
2008	10	3	6	671.9277342
2008	10	3	9	631.6649393
2008	10	3	12	650.4447192
2008	10	3	15	785.8615035
2008	10	3	18	904.6894396
2008	10	3	21	957.2695817
2008	10	4	0	922.3553758
2008	10	4	3	846.1294624
2008	10	4	6	821.0685456
2008	10	4	9	833.8779463
2008	10	4	12	846.1347004
2008	10	4	15	804.9577267
2008	10	4	18	735.4486404
2008	10	4	21	644.1664932
2008	10	5	0	596.322969
2008	10	5	3	542.6890021
2008	10	5	6	550.501196
2008	10	5	9	566.6118421
2008	10	5	12	618.1077567
2008	10	5	15	675.6736354
2008	10	5	18	658.6279785
2008	10	5	21	629.9309817
2008	10	6	0	560.2690873
2008	10	6	3	481.5468341
2008	10	6	6	463.8378419
2008	10	6	9	453.2402587
2008	10	6	12	500.2571074
2008	10	6	15	618.8507044
2008	10	6	18	645.8209016
2008	10	6	21	636.932609
2008	10	7	0	599.6716241
2008	10	7	3	530.3991
2008	10	7	6	521.4130717
2008	10	7	9	534.3538604
2008	10	7	12	565.0289057
2008	10	7	15	600.9378087
2008	10	7	18	554.7160068
2008	10	7	21	515.5937303
2008	10	8	0	535.803555
2008	10	8	3	608.929433
2008	10	8	6	576.3030826
2008	10	8	9	551.98377
2008	10	8	12	586.4113843
2008	10	8	15	687.2607163
2008	10	8	18	674.6911581
2008	10	8	21	570.8163118
2008	10	9	0	432.7655079
2008	10	9	3	330.7722138
2008	10	9	6	312.8639096
2008	10	9	9	322.2600496
2008	10	9	12	327.034425
2008	10	9	15	280.8561759
2008	10	9	18	283.1859306
2008	10	9	21	295.2965726
2008	10	10	0	276.8882276
2008	10	10	3	240.517882
2008	10	10	6	271.7541076
2008	10	10	9	302.3804606
2008	10	10	12	351.6559603
2008	10	10	15	424.4570387
2008	10	10	18	456.5767011
2008	10	10	21	450.1981961
2008	10	11	0	431.5419223
2008	10	11	3	420.7525359
2008	10	11	6	418.9918919
2008	10	11	9	422.1537196
2008	10	11	12	409.0316969
2008	10	11	15	394.4817374
2008	10	11	18	371.2525086
2008	10	11	21	382.7834132
2008	10	12	0	415.1219143
2008	10	12	3	441.4480177
2008	10	12	6	423.2181071
2008	10	12	9	403.830508
2008	10	12	12	417.7052299
2008	10	12	15	452.4933076
2008	10	12	18	461.6450685
2008	10	12	21	484.4917522
2008	10	13	0	432.8929201
2008	10	13	3	283.3394089
2008	10	13	6	280.37733
2008	10	13	9	256.4367898
2008	10	13	12	302.2967813
2008	10	13	15	424.6192833
2008	10	13	18	481.0563929
2008	10	13	21	507.0330546
2008	10	14	0	465.8617038
2008	10	14	3	349.5502538
2008	10	14	6	332.8712309
2008	10	14	9	322.1309649
2008	10	14	12	382.5006127
2008	10	14	15	503.6104233
2008	10	14	18	529.656242
2008	10	14	21	561.0465693
2008	10	15	0	536.6731871
2008	10	15	3	466.8822742
2008	10	15	6	452.9930078
2008	10	15	9	441.686923
2008	10	15	12	440.4578182
2008	10	15	15	471.011379
2008	10	15	18	506.9795416
2008	10	15	21	539.0316933
2008	10	16	0	476.1546738
2008	10	16	3	338.6478394
2008	10	16	6	333.6647246
2008	10	16	9	324.6134116
2008	10	16	12	367.6432655
2008	10	16	15	454.939359
2008	10	16	18	481.628681
2008	10	16	21	517.7091595
2008	10	17	0	508.7959562
2008	10	17	3	454.6269065
2008	10	17	6	449.7627121
2008	10	17	9	451.6133646
2008	10	17	12	454.6090933
2008	10	17	15	461.8751468
2008	10	17	18	479.7125134
2008	10	17	21	516.4304196
2008	10	18	0	539.8892523
2008	10	18	3	497.8035128
2008	10	18	6	501.05577
2008	10	18	9	500.4114699
2008	10	18	12	499.373683
2008	10	18	15	500.8350783
