Year	Month	Day	Hour	WindS (m/s)
2008	10	1	0	0.387661716
2008	10	1	3	0.856326465
2008	10	1	6	2.752075227
2008	10	1	9	3.556589936
2008	10	1	12	3.41230204
2008	10	1	15	3.178457044
2008	10	1	18	4.930816446
2008	10	1	21	5.219090084
2008	10	2	0	4.616176405
2008	10	2	3	3.948688426
2008	10	2	6	3.366575014
2008	10	2	9	1.522246122
2008	10	2	12	1.89458218
2008	10	2	15	3.384820188
2008	10	2	18	5.048082062
2008	10	2	21	5.755770282
2008	10	3	0	5.251372426
2008	10	3	3	3.729130416
2008	10	3	6	4.908840241
2008	10	3	9	6.709913368
2008	10	3	12	6.545908778
2008	10	3	15	5.760124269
2008	10	3	18	5.468960622
2008	10	3	21	5.512885718
2008	10	4	0	3.520502148
2008	10	4	3	2.499854281
2008	10	4	6	2.685313523
2008	10	4	9	2.84584958
2008	10	4	12	1.299831686
2008	10	4	15	1.497751444
2008	10	4	18	2.363419363
2008	10	4	21	4.783049742
2008	10	5	0	4.535156503
2008	10	5	3	2.803346925
2008	10	5	6	2.72728377
2008	10	5	9	2.758588415
2008	10	5	12	2.451681578
2008	10	5	15	2.626788247
2008	10	5	18	3.833689176
2008	10	5	21	3.431078942
2008	10	6	0	1.989692039
2008	10	6	3	1.79858301
2008	10	6	6	2.884139493
2008	10	6	9	3.682472703
2008	10	6	12	3.79838816
2008	10	6	15	4.329182915
2008	10	6	18	5.544163347
2008	10	6	21	5.899224432
2008	10	7	0	4.602922235
2008	10	7	3	3.565415046
2008	10	7	6	3.50686746
2008	10	7	9	3.007474747
2008	10	7	12	1.63111895
2008	10	7	15	2.497979248
2008	10	7	18	5.814375116
2008	10	7	21	6.360565404
2008	10	8	0	3.369302241
2008	10	8	3	2.523885101
2008	10	8	6	3.734890674
2008	10	8	9	4.08121095
2008	10	8	12	4.597247067
2008	10	8	15	6.704243916
2008	10	8	18	9.225994076
2008	10	8	21	8.698585276
2008	10	9	0	6.244462661
2008	10	9	3	3.2766742
2008	10	9	6	2.2430018
2008	10	9	9	2.611581533
2008	10	9	12	2.675231235
2008	10	9	15	2.867467575
2008	10	9	18	2.096236137
2008	10	9	21	3.071340676
2008	10	10	0	5.07699534
2008	10	10	3	6.634105085
2008	10	10	6	5.342124811
2008	10	10	9	2.947644114
2008	10	10	12	3.115728167
2008	10	10	15	2.558705587
2008	10	10	18	2.552487675
2008	10	10	21	5.160391152
2008	10	11	0	4.157712248
2008	10	11	3	3.337869062
2008	10	11	6	4.641873514
2008	10	11	9	4.99281928
2008	10	11	12	5.171833321
2008	10	11	15	5.435765536
2008	10	11	18	5.00739458
2008	10	11	21	4.782605022
2008	10	12	0	3.712612771
2008	10	12	3	2.400495701
2008	10	12	6	2.363981263
2008	10	12	9	2.008996934
2008	10	12	12	1.570467368
2008	10	12	15	1.643687696
2008	10	12	18	1.282960738
2008	10	12	21	1.680816827
2008	10	13	0	2.694189453
2008	10	13	3	3.36527821
2008	10	13	6	3.570994953
2008	10	13	9	3.25927516
2008	10	13	12	2.115451488
2008	10	13	15	0.611146388
2008	10	13	18	1.418083431
2008	10	13	21	1.163157283
2008	10	14	0	1.055297177
2008	10	14	3	1.898238624
2008	10	14	6	2.446156162
2008	10	14	9	2.730224618
2008	10	14	12	2.627368309
2008	10	14	15	2.482441914
2008	10	14	18	2.280411375
2008	10	14	21	2.519275119
2008	10	15	0	3.488982337
2008	10	15	3	4.067155355
2008	10	15	6	3.792219861
2008	10	15	9	3.929231113
2008	10	15	12	3.667342839
2008	10	15	15	3.018358468
2008	10	15	18	2.70334325
2008	10	15	21	2.716721457
2008	10	16	0	2.61660613
2008	10	16	3	2.053825629
2008	10	16	6	2.853348624
2008	10	16	9	3.144360113
2008	10	16	12	3.415248577
2008	10	16	15	2.79219731
2008	10	16	18	2.642255371
2008	10	16	21	2.624915713
2008	10	17	0	3.367216738
2008	10	17	3	3.963915248
2008	10	17	6	4.269711106
2008	10	17	9	4.519669577
2008	10	17	12	4.369159337
2008	10	17	15	3.915298729
2008	10	17	18	3.393643805
2008	10	17	21	3.115410156
2008	10	18	0	3.851859254
2008	10	18	3	4.487203464
2008	10	18	6	4.048314546
2008	10	18	9	3.648661301
2008	10	18	12	3.033462648
2008	10	18	15	2.045538111
2008	10	18	18	2.28215869
2008	10	18	21	2.385998713
2008	10	19	0	3.414796975
2008	10	19	3	3.64734995
2008	10	19	6	3.531208316
2008	10	19	9	3.773818718
2008	10	19	12	3.464278799
2008	10	19	15	3.236806625
2008	10	19	18	2.632209379
2008	10	19	21	2.565360535
2008	10	20	0	3.804467668
2008	10	20	3	4.447988138
2008	10	20	6	4.663064023
2008	10	20	9	4.882164479
2008	10	20	12	4.335062431
2008	10	20	15	4.953923249
2008	10	20	18	7.268635351
2008	10	20	21	7.323852782
2008	10	21	0	5.527140061
2008	10	21	3	4.219774317
2008	10	21	6	4.117067561
2008	10	21	9	4.050098803
2008	10	21	12	3.550411501
2008	10	21	15	1.898896767
